title,category,categories,address,phone,web_site,emails,review_rating,review_count,reviews_per_rating,open_hours,latitude,longtitude,place_id,cid,link,description
April Insurance Agency,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Insurance broker"", ""Life insurance agency"", ""Motorcycle insurance agency""]","204 Valencia St Unit 6, San Francisco, CA 94103, United States",+1 415-242-8100,http://aprilinsurance.com/,"[""support@aprilinsurance.com"", ""john@thinkapril.com""]",5,12,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 12}","{""Friday"": [""8 AM–8 PM""], ""Monday"": [""8 AM–8 PM""], ""Saturday"": [""8 AM–8 PM""], ""Sunday"": [""8 AM–8 PM""], ""Thursday"": [""8 AM–8 PM""], ""Tuesday"": [""8 AM–8 PM""], ""Wednesday"": [""8 AM–8 PM""]}",37.7696334,-122.4225597,ChIJ-e0d4Yl9j4ARUUfGcHjEudc,15544671610413139793,https://www.google.com/maps/place/April+Insurance+Agency/data=!4m7!3m6!1s0x808f7d89e11dedf9:0xd7b9c47870c64751!8m2!3d37.7696334!4d-122.4225597!16s%2Fg%2F1tdy03lb!19sChIJ-e0d4Yl9j4ARUUfGcHjEudc?authuser=0&hl=en&rclk=1,
Insureaze Insurance Solutions,Insurance broker,"[""Insurance broker""]","2021 Fillmore St #9186, San Francisco, CA 94115, United States",+1 800-897-8221,https://insureaze.com/,"[""info@insureaze.com""]",5,69,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 69}","{""Friday"": [""Open 24 hours""], ""Monday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""]}",37.7882253,-122.4339522,ChIJ__-bnYmAhYARDqmVbCi-sB4,2211476497868630286,https://www.google.com/maps/place/Insureaze+Insurance+Solutions/data=!4m7!3m6!1s0x808580899d9bffff:0x1eb0be286c95a90e!8m2!3d37.7882253!4d-122.4339522!16s%2Fg%2F11h5q8j0rq!19sChIJ__-bnYmAhYARDqmVbCi-sB4?authuser=0&hl=en&rclk=1,
Three Foundation Insurance Services,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Health insurance agency"", ""Home insurance agency"", ""Life insurance agency"", ""Motorcycle insurance agency""]","4016 Geary Blvd Ste D, San Francisco, CA 94118, United States",+1 415-750-0781,https://www.progressiveagent.com/local-agent/california/san-francisco/three-foundation-insurance-services/,,5,28,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 27}","{""Friday"": [""9 AM–6 PM""], ""Monday"": [""9 AM–6 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–6 PM""], ""Tuesday"": [""9 AM–6 PM""], ""Wednesday"": [""9 AM–6 PM""]}",37.781400999999995,-122.462542,ChIJPZTgPjmHhYARNgvtUxXbvnQ,8412402038623505206,https://www.google.com/maps/place/Three+Foundation+Insurance+Services/data=!4m7!3m6!1s0x808587393ee0943d:0x74bedb1553ed0b36!8m2!3d37.781401!4d-122.462542!16s%2Fg%2F1tfk4np7!19sChIJPZTgPjmHhYARNgvtUxXbvnQ?authuser=0&hl=en&rclk=1,
Regency Insurance Services,Insurance agency,"[""Insurance agency""]","1303 9th Ave, San Francisco, CA 94122, United States",+1 650-449-0032,https://www.getregencyinsurance.com/,"[""fred@regency-ins.net""]",5,4,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 4}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7638909,-122.4665715,ChIJrXpmig18j4ARj1VW7D3ge8M,14086098816094066063,https://www.google.com/maps/place/Regency+Insurance+Services/data=!4m7!3m6!1s0x808f7c0d8a667aad:0xc37be03dec56558f!8m2!3d37.7638909!4d-122.4665715!16s%2Fg%2F1tkq_hfr!19sChIJrXpmig18j4ARj1VW7D3ge8M?authuser=0&hl=en&rclk=1,
Zurich Simon - State Farm Insurance Agent,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Life insurance agency""]","1745 O'Farrell St, San Francisco, CA 94115, United States",+1 415-240-4725,https://www.fillmoreinsurancegroup.com/?cmpid=VABYQP_blm_0001,,5,373,"{""1"": 2, ""2"": 2, ""3"": 0, ""4"": 4, ""5"": 365}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.783042,-122.433292,ChIJu3xg7qCBhYARIicTAr9lvyo,3080292541192677154,https://www.google.com/maps/place/Zurich+Simon+-+State+Farm+Insurance+Agent/data=!4m7!3m6!1s0x808581a0ee607cbb:0x2abf65bf02132722!8m2!3d37.783042!4d-122.433292!16s%2Fg%2F11pxwf6ssm!19sChIJu3xg7qCBhYARIicTAr9lvyo?authuser=0&hl=en&rclk=1,
Allpointe Insurance Services,Health insurance agency,"[""Health insurance agency""]","1459 18th St Suite 171, San Francisco, CA 94107, United States",+1 415-799-8687,https://www.allpointe.com/,,5,19,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 19}","{""Friday"": [""8 AM–5 PM""], ""Monday"": [""8 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""8 AM–5 PM""], ""Tuesday"": [""8 AM–5 PM""], ""Wednesday"": [""8 AM–5 PM""]}",37.7624108,-122.397195,ChIJjZmj5rZ_j4AR2maOVow38E0,5616049811218130650,https://www.google.com/maps/place/Allpointe+Insurance+Services/data=!4m7!3m6!1s0x808f7fb6e6a3998d:0x4df0378c568e66da!8m2!3d37.7624108!4d-122.397195!16s%2Fg%2F11cn68sq5n!19sChIJjZmj5rZ_j4AR2maOVow38E0?authuser=0&hl=en&rclk=1,
SIStation Auto Insurance Company California,Auto insurance agency,"[""Auto insurance agency""]","777 Florida St #311, San Francisco, CA 94110, United States",+1 628-999-9109,,,5,19,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 19}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""9 AM–5 PM""], ""Sunday"": [""9 AM–5 PM""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7594188,-122.4105348,ChIJR29b48R_j4ARhLCfiNn6ops,11214801834312970372,https://www.google.com/maps/place/SIStation+Auto+Insurance+Company+California/data=!4m7!3m6!1s0x808f7fc4e35b6f47:0x9ba2fad9889fb084!8m2!3d37.7594188!4d-122.4105348!16s%2Fg%2F11s39q2h_h!19sChIJR29b48R_j4ARhLCfiNn6ops?authuser=0&hl=en&rclk=1,
Parceros Insurance,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Insurance company"", ""Life insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","3186 21st St, San Francisco, CA 94110, United States",+1 510-755-2426,https://parcerosinsurance.com/,,4.9,90,"{""1"": 1, ""2"": 1, ""3"": 0, ""4"": 2, ""5"": 86}","{""Friday"": [""10 AM–6 PM""], ""Monday"": [""10 AM–6 PM""], ""Saturday"": [""10 AM–1 PM""], ""Sunday"": [""Closed""], ""Thursday"": [""10 AM–6 PM""], ""Tuesday"": [""10 AM–6 PM""], ""Wednesday"": [""10 AM–6 PM""]}",37.7571684,-122.41858599999999,ChIJ29m-a_F_j4ARWITdIxBWngk,693086019982820440,https://www.google.com/maps/place/Parceros+Insurance/data=!4m7!3m6!1s0x808f7ff16bbed9db:0x99e561023dd8458!8m2!3d37.7571684!4d-122.418586!16s%2Fg%2F11j5pwf6j7!19sChIJ29m-a_F_j4ARWITdIxBWngk?authuser=0&hl=en&rclk=1,
Insurance Agency J&E and Registration Services,Insurance broker,"[""Insurance broker""]","2390 Mission St Ste 101, San Francisco, CA 94110, United States",+1 415-250-0996,https://weqwe.readdy.co/,,4.3,6,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 5}","{""Friday"": [""10 AM–6 PM""], ""Monday"": [""10 AM–6 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""10 AM–6 PM""], ""Tuesday"": [""10 AM–6 PM""], ""Wednesday"": [""10 AM–6 PM""]}",37.7588414,-122.41925739999999,ChIJB2d7kBF_j4ARXM4L88vnWNw,15877695349436698204,https://www.google.com/maps/place/Insurance+Agency+J%26E+and+Registration+Services/data=!4m7!3m6!1s0x808f7f11907b6707:0xdc58e7cbf30bce5c!8m2!3d37.7588414!4d-122.4192574!16s%2Fg%2F11yh24d5fg!19sChIJB2d7kBF_j4ARXM4L88vnWNw?authuser=0&hl=en&rclk=1,
Inclusive Insurance,Insurance agency,"[""Insurance agency""]","180 Montgomery St, San Francisco, CA 94104, United States",+1 844-462-5874,http://inclusiveinsurance.com/,,5,17,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 17}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.7907733,-122.401906,ChIJjf5JOTiHhYARPvG73wZ-djM,3708289911174721854,https://www.google.com/maps/place/Inclusive+Insurance/data=!4m7!3m6!1s0x808587383949fe8d:0x33767e06dfbbf13e!8m2!3d37.7907733!4d-122.401906!16s%2Fg%2F1q66699zv!19sChIJjf5JOTiHhYARPvG73wZ-djM?authuser=0&hl=en&rclk=1,
"Jack Lee Fong Insurance Agency, Inc.",Insurance agency,"[""Insurance agency""]","577 Columbus Ave, San Francisco, CA 94133, United States",+1 415-956-3990,http://www.jlfia.com/,,5,1,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.8001108,-122.41015709999999,ChIJ1a2tofGAhYARUxQwDIwork8,5741571156908971091,"https://www.google.com/maps/place/Jack+Lee+Fong+Insurance+Agency,+Inc./data=!4m7!3m6!1s0x808580f1a1adadd5:0x4fae288c0c301453!8m2!3d37.8001108!4d-122.4101571!16s%2Fg%2F1tdz51dm!19sChIJ1a2tofGAhYARUxQwDIwork8?authuser=0&hl=en&rclk=1",
Tiffany Won - State Farm Insurance Agent,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Life insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","1250 Missouri St UNIT 305, San Francisco, CA 94107, United States",+1 415-872-5734,https://www.tiffanywon.com/?cmpid=MLLIST,,5,430,"{""1"": 2, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 427}","{""Friday"": [""8:30 AM–5 PM""], ""Monday"": [""8:30 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""8:30 AM–5 PM""], ""Tuesday"": [""8:30 AM–5 PM""], ""Wednesday"": [""8:30 AM–5 PM""]}",37.750598,-122.395693,ChIJG-AwB65_j4AR-3DNgOIG-Y8,10374330786517971195,https://www.google.com/maps/place/Tiffany+Won+-+State+Farm+Insurance+Agent/data=!4m7!3m6!1s0x808f7fae0730e01b:0x8ff906e280cd70fb!8m2!3d37.750598!4d-122.395693!16s%2Fg%2F11bc7cmrnh!19sChIJG-AwB65_j4AR-3DNgOIG-Y8?authuser=0&hl=en&rclk=1,
Embassy Auto Insurance,Auto insurance agency,"[""Auto insurance agency""]","1054 Sutter St #152, San Francisco, CA 94109, United States",+1 484-372-4042,,,3.4,5,"{""1"": 2, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 3}","{""Friday"": [""8 AM–8 PM""], ""Monday"": [""8 AM–8 PM""], ""Saturday"": [""8 AM–8 PM""], ""Sunday"": [""8 AM–8 PM""], ""Thursday"": [""8 AM–8 PM""], ""Tuesday"": [""8 AM–8 PM""], ""Wednesday"": [""8 AM–8 PM""]}",37.7883494,-122.41785739999999,ChIJ8x6Olq-BhYAR8SGfPf7JLgU,373457912911045105,https://www.google.com/maps/place/Embassy+Auto+Insurance/data=!4m7!3m6!1s0x808581af968e1ef3:0x52ec9fe3d9f21f1!8m2!3d37.7883494!4d-122.4178574!16s%2Fg%2F11fkvpnw7p!19sChIJ8x6Olq-BhYAR8SGfPf7JLgU?authuser=0&hl=en&rclk=1,
Alan Chan - State Farm Insurance Agent,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Life insurance agency""]","1820 Van Ness Ave, San Francisco, CA 94109, United States",+1 415-776-2190,https://www.alanchansf.com/?cmpid=JTMH_blm_0001,"[""team@keen.io"", ""dustin@keen.io"", ""eric@keen.io"", ""joe@keen.io"", ""alex@keen.io"", ""adam.kasprowicz@keen.io"", ""dariusz.lacheta@keen.io""]",4.9,128,"{""1"": 2, ""2"": 0, ""3"": 1, ""4"": 1, ""5"": 124}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.792570999999995,-122.42225099999999,ChIJ9brBsOqAhYAReFAoqfZipfg,17916835504102854776,https://www.google.com/maps/place/Alan+Chan+-+State+Farm+Insurance+Agent/data=!4m7!3m6!1s0x808580eab0c1baf5:0xf8a562f6a9285078!8m2!3d37.792571!4d-122.422251!16s%2Fg%2F1v6l7qjx!19sChIJ9brBsOqAhYAReFAoqfZipfg?authuser=0&hl=en&rclk=1,
Henry De Guzman Cruz: Allstate Insurance,Insurance agency,"[""Insurance agency"", ""Auto insurance agency"", ""Home insurance agency"", ""Insurance company"", ""Life insurance agency"", ""Motorcycle insurance agency"", ""Renter's insurance agency""]","369 Pine St Ste 618, San Francisco, CA 94104, United States",+1 415-561-0690,https://agents.allstate.com/henry-de-guzman-cruz-san-francisco-ca.html?utm_source=GMB&utm_medium=Website,,4.7,35,"{""1"": 2, ""2"": 0, ""3"": 2, ""4"": 0, ""5"": 31}","{""Friday"": [""9 AM–5 PM""], ""Monday"": [""9 AM–5 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""9 AM–5 PM""], ""Tuesday"": [""9 AM–5 PM""], ""Wednesday"": [""9 AM–5 PM""]}",37.79173,-122.40202169999999,ChIJRRqOj7mAhYARiqNnmB5-iSM,2560716533007885194,https://www.google.com/maps/place/Henry+De+Guzman+Cruz:+Allstate+Insurance/data=!4m7!3m6!1s0x808580b98f8e1a45:0x23897e1e9867a38a!8m2!3d37.79173!4d-122.4020217!16s%2Fg%2F1tc_wv0b!19sChIJRRqOj7mAhYARiqNnmB5-iSM?authuser=0&hl=en&rclk=1,
Farmers Insurance - Eric Gee,Insurance agent,"[""Insurance agent"", ""Auto insurance agency"", ""Home insurance agency"", ""Life insurance agency"", ""Renter's insurance agency""]","1160 Battery St Suite 100, San Francisco, CA 94111, United States",+1 415-635-0999,https://agents.farmers.com/ca/san-francisco/eric-gee?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_MTU0OTg3My03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,,5,19,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 19}","{""Friday"": [""8:30 AM–5:30 PM""], ""Monday"": [""8:30 AM–5:30 PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""], ""Thursday"": [""8:30 AM–5:30 PM""], ""Tuesday"": [""8:30 AM–5:30 PM""], ""Wednesday"": [""8:30 AM–5:30 PM""]}",37.7939836,-122.40258379999999,ChIJSafpsDmHhYARVmYnaX_HQQo,739091163904435798,https://www.google.com/maps/place/Farmers+Insurance+-+Eric+Gee/data=!4m7!3m6!1s0x80858739b0e9a749:0xa41c77f69276656!8m2!3d37.7939836!4d-122.4025838!16s%2Fg%2F11bbrlztnn!19sChIJSafpsDmHhYARVmYnaX_HQQo?authuser=0&hl=en&rclk=1,
